,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,16,15,5,82,22,8.20,208,39.42,0,0,8,3,4,0
List A,10,8,6,21,10,10.50,33,63.63,0,0,2,1,5,0
T20s,18,4,3,4,4*,4.00,5,80.00,0,0,1,0,7,0
