,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,3,6,0,96,47,16.00,118,81.35,0,0,15,4,2,0
ODIs,11,9,2,115,36,16.42,152,75.65,0,0,4,5,5,0
T20Is,13,9,4,124,29,24.80,96,129.16,0,0,8,7,1,0
First-class,20,31,3,627,107,22.39,896,69.97,1,2,70,28,13,0
List A,32,27,3,360,72,15.00,473,76.10,0,2,17,20,17,0
T20s,28,18,6,155,29,12.91,135,114.81,0,0,8,8,2,0
