,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,9,15,1,696,159*,49.71,943,73.80,2,2,70,17,40,2
ODIs,5,4,0,93,36,23.25,71,130.98,0,0,10,3,5,0
T20Is,15,14,2,233,58,19.41,195,119.48,0,1,17,10,3,0
First-class,32,49,3,2440,308,53.04,2774,87.95,6,10,255,92,106,9
List A,41,38,4,1011,135,29.73,964,104.87,1,6,103,35,48,10
T20s,72,71,8,2128,128*,33.77,1312,162.19,2,14,196,115,42,10
