,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,6,11,1036,512,21,4/56,6/77,24.38,2.96,49.3,1,0,0
List A,1,1,60,65,2,2/65,2/65,32.50,6.50,30.0,0,0,0
T20s,1,1,23,28,3,3/28,3/28,9.33,7.30,7.6,0,0,0
