,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,46,84,8137,3706,153,6/44,9/75,24.22,2.73,53.1,8,10,0
List A,39,38,1709,1544,48,4/51,4/51,32.16,5.42,35.6,1,0,0
T20s,40,40,858,1015,41,3/19,3/19,24.75,7.09,20.9,0,0,0
