,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,30,24,901,459,10,2/1,4/34,45.90,3.05,90.1,0,0,0
List A,39,29,718,577,18,2/9,2/9,32.05,4.82,39.8,0,0,0
T20s,78,27,250,319,13,2/10,2/10,24.53,7.65,19.2,0,0,0
