batsmen,bowler,balls,wickets
A Ashish Reddy,A Nehra,9,1
A Ashish Reddy,AB Dinda,7,1
A Ashish Reddy,AD Mathews,12,1
A Ashish Reddy,Andre Russell,3,1
A Ashish Reddy,Anureet Singh,2,1
A Ashish Reddy,Azhar Mahmood,3,1
A Ashish Reddy,BW Hilfenhaus,2,1
A Ashish Reddy,Bhuvneshwar Kumar,1,1
A Ashish Reddy,Chris Morris,5,1
A Ashish Reddy,Dwayne Bravo,13,1
A Ashish Reddy,Harbhajan Singh,8,1
A Ashish Reddy,Imran Tahir,2,1
A Ashish Reddy,J Botha,2,1
A Ashish Reddy,JEC Franklin,3,1
A Ashish Reddy,JP Duminy,1,1
A Ashish Reddy,JP Faulkner,2,1
A Ashish Reddy,KK Cooper,5,1
A Ashish Reddy,Kieron Pollard,3,1
A Ashish Reddy,M Kartik,8,1
A Ashish Reddy,M Morkel,5,1
A Ashish Reddy,MM Patel,2,1
A Ashish Reddy,MR Marsh,3,1
A Ashish Reddy,MS Gony,4,1
A Ashish Reddy,Mitchell Johnson,3,1
A Ashish Reddy,Mohit Sharma,2,1
A Ashish Reddy,NM Coulter-Nile,1,1
A Ashish Reddy,P Awana,2,1
A Ashish Reddy,P Kumar,4,1
A Ashish Reddy,PV Tambe,4,1
A Ashish Reddy,Parvez Rasool,9,1
A Ashish Reddy,Piyush Chawla,2,1
A Ashish Reddy,R Vinay Kumar,11,2
A Ashish Reddy,RJ Peterson,5,2
A Ashish Reddy,RP Singh,2,1
A Ashish Reddy,SL Malinga,4,1
A Ashish Reddy,SMSM Senanayake,4,1
A Ashish Reddy,SW Tait,4,1
A Ashish Reddy,Sandeep Sharma,3,1
A Ashish Reddy,Shane Watson,5,1
A Ashish Reddy,Stuart Binny,4,1
A Ashish Reddy,Sunil Narine,1,1
A Ashish Reddy,Tim Southee,4,1
A Ashish Reddy,Umesh Yadav,10,1
A Ashish Reddy,Yuzvendra Chahal,7,1
A Chandila,R Rampaul,2,0
A Chandila,R Vinay Kumar,2,0
A Chandila,RP Singh,2,0
A Chandila,V Pratap Singh,1,1
A Chopra,DP Vijaykumar,5,0
A Chopra,DW Steyn,4,1
A Chopra,GD McGrath,4,1
A Chopra,Harmeet Singh,8,1
A Chopra,JR Hopes,2,1
A Chopra,PP Ojha,6,1
A Chopra,Piyush Chawla,1,1
A Chopra,Pradeep Sangwan,10,1
A Chopra,RP Singh,6,1
A Chopra,SB Bangar,4,1
A Chopra,SB Styris,7,1
A Chopra,SM Pollock,4,1
A Chopra,VY Mahesh,4,1
A Chopra,WPUJC Vaas,2,1
A Chopra,Y Venugopal Rao,7,1
A Chopra,Z Khan,1,1
A Choudhary,Andrew Tye,3,0
A Choudhary,Axar Patel,2,0
A Choudhary,Basil Thampi,4,0
A Choudhary,Ben Cutting,2,1
A Choudhary,JP Faulkner,5,1
A Choudhary,Mohit Sharma,4,1
A Flintoff,A Nehra,4,1
