batsmen,bowler,balls,wickets
A Flintoff,DL Vettori,6,1
A Flintoff,DP Nannes,1,1
A Flintoff,DW Steyn,8,1
A Flintoff,Dwayne Bravo,7,1
A Flintoff,Harbhajan Singh,5,1
A Flintoff,KP Pietersen,4,1
A Flintoff,Manoj Tiwary,3,1
A Flintoff,P Kumar,2,1
A Flintoff,Pradeep Sangwan,4,1
A Flintoff,RR Raje,1,1
A Flintoff,SL Malinga,4,1
A Flintoff,ST Jayasuriya,4,1
A Flintoff,Z Khan,4,1
A Kumble,A Flintoff,2,0
A Kumble,AB McDonald,1,0
A Kumble,Amit Mishra,1,0
A Kumble,CRD Fernando,3,0
A Kumble,Dwayne Bravo,3,0
A Kumble,Harbhajan Singh,2,0
A Kumble,Harmeet Singh,2,0
A Kumble,IK Pathan,6,0
A Kumble,JA Morkel,1,0
A Kumble,M Muralitharan,3,0
A Kumble,Piyush Chawla,4,0
A Kumble,R McLaren,3,0
A Kumble,RJ Harris,2,0
A Kumble,RP Singh,2,0
A Kumble,Ravindra Jadeja,3,0
A Kumble,SK Warne,3,0
A Kumble,SL Malinga,1,0
A Kumble,Sohail Tanvir,2,1
A Kumble,VRV Singh,3,1
A Kumble,YA Abdulla,2,1
A Mithun,Amit Mishra,1,1
A Mithun,DL Vettori,3,1
A Mithun,Dwayne Bravo,2,1
A Mithun,M Morkel,2,1
A Mithun,PC Valthaty,3,1
A Mithun,Piyush Chawla,1,1
A Mithun,RJ Harris,6,1
A Mithun,Ravichandran Ashwin,2,1
A Mithun,Sunil Narine,2,1
A Mithun,Suresh Raina,4,1
A Mukund,A Chandila,4,0
A Mukund,JP Faulkner,7,0
A Mukund,S Sreesanth,1,0
A Mukund,SK Trivedi,3,1
A Mukund,Shane Watson,7,1
A Mukund,Sohail Tanvir,1,1
A Nehra,AD Mascarenhas,3,0
A Nehra,Andre Russell,3,0
A Nehra,Dwayne Bravo,1,1
A Nehra,GB Hogg,1,1
A Nehra,Harmeet Singh,6,1
A Nehra,IK Pathan,9,1
A Nehra,J Theron,2,1
A Nehra,Joginder Sharma,2,1
A Nehra,Kieron Pollard,1,1
A Nehra,MA Starc,2,1
A Nehra,MR Marsh,4,1
A Nehra,Mitchell Johnson,2,1
A Nehra,NLTC Perera,1,1
A Nehra,NM Coulter-Nile,1,1
A Nehra,P Awana,2,1
A Nehra,Rohit Sharma,3,1
A Nehra,S Sreesanth,3,1
A Nehra,SL Malinga,3,1
A Nehra,SW Tait,4,1
A Nehra,Stuart Binny,4,1
A Nehra,Sunil Narine,1,1
A Nehra,VRV Singh,2,1
A Nehra,WPUJC Vaas,3,1
A Symonds,A Kumble,13,2
A Symonds,A Nehra,2,2
A Symonds,AB Agarkar,20,1
A Symonds,AB Dinda,2,1
A Symonds,AC Thomas,4,1
A Symonds,AD Mathews,8,1
A Symonds,AL Menaria,1,1
A Symonds,AP Dole,5,1
A Symonds,Amit Mishra,42,3
A Symonds,Anand Rajan,2,3
A Symonds,B Akhil,2,3
A Symonds,B Lee,9,3
A Symonds,BA Bhatt,4,3
A Symonds,BJ Hodge,2,3
A Symonds,Bipul Sharma,9,3
A Symonds,CK Langeveldt,3,3
A Symonds,Chris Gayle,2,1
A Symonds,D Salunkhe,2,1
A Symonds,DE Bollinger,9,1
A Symonds,DJ Hussey,10,1
A Symonds,DP Nannes,14,1
A Symonds,DW Steyn,24,1
A Symonds,Dan Christian,12,1
A Symonds,Dwayne Bravo,3,1
A Symonds,GD McGrath,5,1
A Symonds,IK Pathan,11,1
A Symonds,Ishant Sharma,16,1
A Symonds,J Botha,3,1
A Symonds,J Theron,3,1
A Symonds,JA Morkel,18,1
A Symonds,JE Taylor,3,1
A Symonds,JH Kallis,17,1
A Symonds,JM Kemp,6,1
A Symonds,JR Hopes,1,1
A Symonds,Joginder Sharma,2,1
A Symonds,KP Appanna,5,1
A Symonds,Kieron Pollard,6,1
A Symonds,L Balaji,13,1
A Symonds,M Kartik,22,1
A Symonds,M Morkel,14,1
A Symonds,M Muralitharan,15,1
A Symonds,MB Parmar,9,1
A Symonds,MC Henriques,2,1
A Symonds,MF Maharoof,2,1
A Symonds,MM Patel,11,1
A Symonds,Mashrafe Mortaza,1,1
A Symonds,Mohammad Asif,5,1
A Symonds,Mohammad Hafeez,13,1
A Symonds,P Kumar,15,1
A Symonds,PD Collingwood,8,1
A Symonds,PP Ojha,8,1
A Symonds,Pankaj Singh,6,1
A Symonds,Piyush Chawla,25,1
A Symonds,Pradeep Sangwan,5,1
A Symonds,R Bhatia,1,1
A Symonds,R McLaren,8,1
A Symonds,R Vinay Kumar,11,1
A Symonds,RE van der Merwe,12,1
A Symonds,RJ Harris,2,1
A Symonds,RR Powar,9,1
A Symonds,Ravichandran Ashwin,16,1
A Symonds,Ravindra Jadeja,9,1
A Symonds,Rohit Sharma,2,1
A Symonds,S Ladda,5,1
A Symonds,S Narwal,6,1
A Symonds,S Randiv,8,1
A Symonds,S Sreesanth,12,1
A Symonds,SB Jakati,20,1
A Symonds,SE Bond,8,1
A Symonds,SJ Srivastava,7,1
A Symonds,SK Trivedi,21,1
A Symonds,SK Warne,38,1
A Symonds,SL Malinga,6,1
A Symonds,SW Tait,3,1
A Symonds,Shane Watson,16,1
A Symonds,Suresh Raina,10,1
A Symonds,T Thushara,6,1
A Symonds,TM Dilshan,5,1
A Symonds,Umesh Yadav,12,1
A Symonds,VY Mahesh,1,1
A Symonds,Virat Kohli,8,1
A Symonds,WA Mota,12,1
A Symonds,WD Parnell,6,1
A Symonds,Y Nagar,6,1
A Symonds,Yusuf Pathan,3,1
A Symonds,Yuvraj Singh,15,2
A Symonds,Z Khan,3,2
A Uniyal,DP Nannes,3,0
A Uniyal,S Ladda,3,0
A Uniyal,SL Malinga,1,1
A Zampa,A Nehra,1,1
A Zampa,Amit Mishra,6,1
A Zampa,Z Khan,1,1
AA Bilakhia,A Kumble,3,0
AA Bilakhia,A Nehra,13,0
AA Bilakhia,Amit Mishra,11,1
AA Bilakhia,DL Vettori,6,1
AA Bilakhia,DP Nannes,7,1
AA Bilakhia,JA Morkel,7,1
AA Bilakhia,JDP Oram,2,1
AA Bilakhia,L Balaji,1,1
AA Bilakhia,M Muralitharan,4,1
AA Bilakhia,P Kumar,8,1
AA Bilakhia,Pradeep Sangwan,5,1
AA Bilakhia,R Vinay Kumar,5,1
AA Bilakhia,SK Warne,3,1
AA Bilakhia,SM Harwood,1,1
AA Bilakhia,Shane Watson,1,1
AA Bilakhia,TM Dilshan,6,1
AA Bilakhia,V Sehwag,1,1
AA Bilakhia,Yusuf Pathan,4,1
AA Chavan,BJ Hodge,3,0
AA Chavan,Kieron Pollard,1,1
AA Chavan,M Morkel,4,1
AA Chavan,MM Patel,1,1
AA Chavan,Umesh Yadav,2,1
AA Jhunjhunwala,A Kumble,7,0
AA Jhunjhunwala,A Symonds,3,0
AA Jhunjhunwala,AB Dinda,4,0
AA Jhunjhunwala,AB McDonald,2,0
AA Jhunjhunwala,AD Mathews,6,0
AA Jhunjhunwala,AG Murtaza,6,0
AA Jhunjhunwala,Amit Mishra,10,1
AA Jhunjhunwala,Azhar Mahmood,3,1
AA Jhunjhunwala,BJ Hodge,4,1
AA Jhunjhunwala,BW Hilfenhaus,1,1
AA Jhunjhunwala,DE Bollinger,2,1
AA Jhunjhunwala,DP Nannes,9,1
AA Jhunjhunwala,DW Steyn,1,1
AA Jhunjhunwala,Dhawal Kulkarni,13,1
AA Jhunjhunwala,Harbhajan Singh,7,1
AA Jhunjhunwala,Harmeet Singh,1,1
AA Jhunjhunwala,Ishant Sharma,1,1
AA Jhunjhunwala,JA Morkel,3,1
AA Jhunjhunwala,JH Kallis,12,1
AA Jhunjhunwala,Kieron Pollard,2,1
AA Jhunjhunwala,M Kartik,17,1
AA Jhunjhunwala,M Morkel,2,1
AA Jhunjhunwala,M Muralitharan,2,1
AA Jhunjhunwala,MF Maharoof,4,1
AA Jhunjhunwala,MM Patel,2,1
AA Jhunjhunwala,P Awana,3,1
AA Jhunjhunwala,P Kumar,5,1
AA Jhunjhunwala,PP Ojha,2,1
AA Jhunjhunwala,Pankaj Singh,4,1
AA Jhunjhunwala,Piyush Chawla,6,1
AA Jhunjhunwala,Pradeep Sangwan,14,1
AA Jhunjhunwala,R McLaren,1,1
AA Jhunjhunwala,R Sathish,3,1
AA Jhunjhunwala,R Vinay Kumar,5,1
AA Jhunjhunwala,RJ Harris,2,1
AA Jhunjhunwala,RP Singh,3,1
AA Jhunjhunwala,RR Powar,3,1
AA Jhunjhunwala,S Ladda,15,1
AA Jhunjhunwala,SE Bond,5,1
AA Jhunjhunwala,SJ Srivastava,3,1
AA Jhunjhunwala,SL Malinga,6,1
AA Jhunjhunwala,ST Jayasuriya,7,1
AA Jhunjhunwala,T Thushara,3,1
AA Jhunjhunwala,Umesh Yadav,4,1
AA Noffke,AB Agarkar,8,0
AA Noffke,SC Ganguly,4,1
AB Agarkar,A Nehra,3,0
AB Agarkar,AB McDonald,2,0
AB Agarkar,Amit Mishra,8,0
AB Agarkar,Amit Singh,2,0
AB Agarkar,DE Bollinger,3,0
AB Agarkar,DJ Thornely,5,0
AB Agarkar,DP Nannes,6,0
AB Agarkar,DW Steyn,2,0
AB Agarkar,Dhawal Kulkarni,3,0
AB Agarkar,Dwayne Bravo,4,1
AB Agarkar,IK Pathan,2,1
AB Agarkar,J Botha,3,1
AB Agarkar,JH Kallis,2,1
AB Agarkar,Jaskaran Singh,1,1
AB Agarkar,Joginder Sharma,3,1
AB Agarkar,KAJ Roach,4,1
AB Agarkar,Kamran Khan,1,1
AB Agarkar,M Muralitharan,4,1
AB Agarkar,MS Gony,2,1
AB Agarkar,P Amarnath,2,1
AB Agarkar,P Awana,3,1
AB Agarkar,P Kumar,10,1
AB Agarkar,PD Collingwood,4,1
AB Agarkar,Pradeep Sangwan,8,1
AB Agarkar,R Bhatia,7,1
AB Agarkar,R Vinay Kumar,3,1
AB Agarkar,RE van der Merwe,4,1
AB Agarkar,RP Singh,2,1
AB Agarkar,RR Raje,6,1
AB Agarkar,Ravichandran Ashwin,4,1
AB Agarkar,Ravindra Jadeja,6,1
AB Agarkar,SB Styris,1,1
AB Agarkar,SK Warne,5,1
AB Agarkar,SL Malinga,4,1
AB Agarkar,ST Jayasuriya,6,1
AB Agarkar,Shane Watson,9,1
AB Agarkar,Sohail Tanvir,8,1
AB Agarkar,T Henderson,4,1
AB Agarkar,TM Dilshan,1,1
AB Agarkar,Umesh Yadav,3,1
AB Barath,A Symonds,1,0
AB Barath,DL Vettori,4,0
AB Barath,Harbhajan Singh,7,0
AB Barath,JP Duminy,1,1
AB Barath,PD Collingwood,1,1
AB Barath,PP Ojha,5,1
AB Barath,R McLaren,7,1
AB Barath,R Sathish,8,1
AB Barath,Rohit Sharma,4,1
AB Barath,SL Malinga,2,1
AB Barath,Z Khan,3,1
AB Dinda,AD Mascarenhas,1,0
AB Dinda,Amit Mishra,3,1
AB Dinda,Chris Gayle,5,1
AB Dinda,DJ Thornely,1,1
AB Dinda,DW Steyn,2,1
AB Dinda,Dwayne Bravo,2,1
AB Dinda,Harbhajan Singh,3,1
AB Dinda,Kieron Pollard,2,1
AB Dinda,Mitchell Johnson,5,1
AB Dinda,P Awana,4,1
AB Dinda,PJ Cummins,1,1
AB Dinda,PV Tambe,3,1
AB Dinda,R Vinay Kumar,1,1
AB Dinda,RP Singh,3,1
AB Dinda,SL Malinga,6,2
AB Dinda,Shane Watson,1,1
AB Dinda,Sohail Tanvir,2,1
AB Dinda,Z Khan,5,1
AB McDonald,A Kumble,2,1
AB McDonald,AG Murtaza,6,1
AB McDonald,Azhar Mahmood,3,1
AB McDonald,CRD Fernando,6,1
AB McDonald,DAJ Bracewell,5,1
AB McDonald,DE Bollinger,2,1
AB McDonald,DJ Hussey,4,1
AB McDonald,DW Steyn,3,1
AB McDonald,Dwayne Bravo,9,1
AB McDonald,Harbhajan Singh,8,1
AB McDonald,IK Pathan,7,1
AB McDonald,JA Morkel,1,1
AB McDonald,Kieron Pollard,6,1
AB McDonald,M Morkel,3,1
AB McDonald,P Awana,7,1
AB McDonald,P Kumar,9,1
AB McDonald,Piyush Chawla,3,1
AB McDonald,R Vinay Kumar,2,1
AB McDonald,RE van der Merwe,2,1
AB McDonald,SK Trivedi,5,1
AB McDonald,SW Tait,4,1
AB McDonald,Shahbaz Nadeem,2,1
AB McDonald,Umesh Yadav,4,1
AB de Villiers,A Ashish Reddy,18,0
AB de Villiers,A Chandila,11,0
AB de Villiers,A Flintoff,12,0
AB de Villiers,A Kumble,41,0
AB de Villiers,A Nehra,29,2
AB de Villiers,A Symonds,12,2
AB de Villiers,A Uniyal,1,2
AB de Villiers,A Zampa,3,1
AB de Villiers,AB Agarkar,5,1
AB de Villiers,AB Dinda,18,1
AB de Villiers,AC Thomas,6,1
AB de Villiers,AD Mascarenhas,13,1
AB de Villiers,AD Mathews,3,1
AB de Villiers,AG Murtaza,18,1
AB de Villiers,AN Ahmed,8,1
AB de Villiers,AS Raut,5,1
AB de Villiers,Amit Mishra,26,1
AB de Villiers,Amit Singh,7,1
AB de Villiers,Anand Rajan,7,1
AB de Villiers,Andre Russell,8,1
AB de Villiers,Andrew Tye,10,1
AB de Villiers,Ankit Rajpoot,8,1
AB de Villiers,Ankit Sharma,20,1
AB de Villiers,Ankit Soni,5,1
AB de Villiers,Anureet Singh,9,1
AB de Villiers,Axar Patel,43,1
AB de Villiers,Azhar Mahmood,17,1
AB de Villiers,B Akhil,14,1
AB de Villiers,B Lee,3,1
AB de Villiers,BAW Mendis,4,1
AB de Villiers,Barinder Sran,17,1
AB de Villiers,Basil Thampi,7,1
AB de Villiers,Ben Laughlin,7,1
AB de Villiers,Ben Stokes,10,1
AB de Villiers,Bhuvneshwar Kumar,31,1
AB de Villiers,Bipul Sharma,5,1
AB de Villiers,CL White,2,1
AB de Villiers,Carlos Brathwaite,1,1
AB de Villiers,Chris Morris,30,1
AB de Villiers,Chris Woakes,4,1
AB de Villiers,DAJ Bracewell,9,1
AB de Villiers,DE Bollinger,4,1
AB de Villiers,DJ Hussey,13,1
AB de Villiers,DJG Sammy,11,1
AB de Villiers,DP Nannes,7,1
AB de Villiers,DR Smith,16,1
AB de Villiers,DW Steyn,23,1
AB de Villiers,Dan Christian,6,1
AB de Villiers,Deepak Chahar,1,1
AB de Villiers,Deepak Hooda,1,1
AB de Villiers,Dhawal Kulkarni,38,1
AB de Villiers,Dwayne Bravo,45,1
AB de Villiers,GB Hogg,9,1
AB de Villiers,Glenn Maxwell,10,1
AB de Villiers,Harbhajan Singh,74,2
AB de Villiers,Hardik Pandya,20,2
AB de Villiers,Harmeet Singh,19,2
AB de Villiers,Harshal Patel,21,2
AB de Villiers,IC Pandey,17,1
AB de Villiers,IK Pathan,44,1
AB de Villiers,Imran Tahir,22,2
AB de Villiers,Iqbal Abdulla,6,2
AB de Villiers,Ish Sodhi,13,2
AB de Villiers,Ishant Sharma,22,2
AB de Villiers,J Botha,8,2
AB de Villiers,JA Morkel,29,3
AB de Villiers,JD Ryder,4,3
AB de Villiers,JEC Franklin,4,3
AB de Villiers,JH Kallis,42,1
AB de Villiers,JP Duminy,16,1
AB de Villiers,JP Faulkner,30,1
AB de Villiers,Jagadeesha Suchith,11,1
AB de Villiers,Jasprit Bumrah,37,2
AB de Villiers,Jaydev Unadkat,16,2
AB de Villiers,Jofra Archer,6,2
AB de Villiers,Joginder Sharma,7,2
AB de Villiers,Junior Dala,1,2
AB de Villiers,KC Cariappa,11,1
AB de Villiers,KJ Abbott,2,1
AB de Villiers,KK Cooper,8,1
AB de Villiers,KP Appanna,8,1
AB de Villiers,KW Richardson,6,1
AB de Villiers,Kamran Khan,9,1
AB de Villiers,Karanveer Singh,7,1
AB de Villiers,Karn Sharma,29,1
AB de Villiers,Kieron Pollard,16,2
AB de Villiers,Krishnappa Gowtham,1,2
AB de Villiers,Krunal Pandya,34,4
AB de Villiers,Kuldeep Yadav,4,4
AB de Villiers,L Ablish,3,4
AB de Villiers,L Balaji,29,3
AB de Villiers,LH Ferguson,3,1
AB de Villiers,M Kartik,14,1
AB de Villiers,M Morkel,17,1
AB de Villiers,M Muralitharan,28,1
AB de Villiers,M Ntini,3,1
AB de Villiers,MC Henriques,29,1
AB de Villiers,MG Neser,10,1
AB de Villiers,MM Patel,28,1
AB de Villiers,MR Marsh,4,1
AB de Villiers,MS Gony,24,1
AB de Villiers,Marcus Stoinis,15,1
AB de Villiers,Mitchell Johnson,18,1
AB de Villiers,Mitchell McClenaghan,25,1
AB de Villiers,Mohammed Shami,5,1
AB de Villiers,Mohit Sharma,28,1
AB de Villiers,Mujeeb Ur Rahman,7,1
AB de Villiers,Murugan Ashwin,8,1
AB de Villiers,Mustafizur Rahman,12,1
AB de Villiers,NLTC Perera,6,1
AB de Villiers,NM Coulter-Nile,2,1
AB de Villiers,Nitish Rana,2,1
AB de Villiers,P Awana,11,1
AB de Villiers,P Kumar,26,1
AB de Villiers,PC Valthaty,10,1
AB de Villiers,PP Ojha,33,1
AB de Villiers,PV Tambe,32,1
AB de Villiers,Pankaj Singh,5,1
AB de Villiers,Parvez Rasool,2,1
AB de Villiers,Pawan Negi,10,1
AB de Villiers,Piyush Chawla,46,4
AB de Villiers,Pradeep Sangwan,4,4
AB de Villiers,R Bhatia,27,4
AB de Villiers,R Dhawan,6,1
AB de Villiers,R McLaren,3,1
AB de Villiers,R Vinay Kumar,20,1
AB de Villiers,RE van der Merwe,5,1
AB de Villiers,RJ Harris,5,1
AB de Villiers,RP Singh,12,1
AB de Villiers,RR Powar,3,1
AB de Villiers,RR Raje,7,1
AB de Villiers,RS Bopara,8,1
AB de Villiers,RV Gomez,4,1
AB de Villiers,Rahul Tewatia,14,1
AB de Villiers,Rashid Khan,10,2
AB de Villiers,Ravichandran Ashwin,39,2
AB de Villiers,Ravindra Jadeja,79,2
AB de Villiers,Rohit Sharma,25,1
AB de Villiers,S Badree,1,1
AB de Villiers,S Kaushik,5,1
AB de Villiers,S Randiv,12,1
AB de Villiers,S Sreesanth,16,2
AB de Villiers,S Tyagi,1,1
AB de Villiers,SB Jakati,30,2
AB de Villiers,SJ Srivastava,5,2
AB de Villiers,SK Trivedi,26,1
AB de Villiers,SK Warne,38,2
AB de Villiers,SL Malinga,48,2
AB de Villiers,SM Pollock,9,2
AB de Villiers,SMSM Senanayake,3,2
AB de Villiers,SR Tendulkar,6,2
AB de Villiers,SS Sarkar,1,2
AB de Villiers,SW Tait,7,2
AB de Villiers,Sandeep Lamichhane,8,2
AB de Villiers,Sandeep Sharma,45,2
AB de Villiers,Shahbaz Nadeem,30,2
AB de Villiers,Shakib Al Hasan,33,2
AB de Villiers,Shane Watson,50,1
AB de Villiers,Shardul Thakur,12,1
AB de Villiers,Shivam Sharma,8,1
AB de Villiers,Shoaib Ahmed,6,1
AB de Villiers,Shoaib Akhtar,9,1
AB de Villiers,Shreyas Gopal,21,2
AB de Villiers,Siddarth Kaul,21,1
AB de Villiers,Stuart Binny,15,1
AB de Villiers,Sunil Narine,27,2
AB de Villiers,Suresh Raina,1,2
AB de Villiers,T Natarajan,2,2
AB de Villiers,Tim Southee,17,2
AB de Villiers,Trent Boult,13,1
AB de Villiers,Umesh Yadav,26,1
AB de Villiers,V Pratap Singh,8,1
AB de Villiers,VR Aaron,10,1
AB de Villiers,WPUJC Vaas,9,1
AB de Villiers,YA Abdulla,2,1
AB de Villiers,Yusuf Pathan,14,1
AB de Villiers,Yuvraj Singh,6,1
AB de Villiers,Z Khan,21,1
AC Blizzard,AB Agarkar,2,0
AC Blizzard,AC Thomas,4,1
AC Blizzard,B Lee,10,1
AC Blizzard,BA Bhatt,1,1
AC Blizzard,Bipul Sharma,2,1
AC Blizzard,Chris Gayle,5,1
AC Blizzard,IK Pathan,7,1
AC Blizzard,Iqbal Abdulla,7,1
AC Blizzard,Ishant Sharma,3,1
AC Blizzard,JP Duminy,4,1
AC Blizzard,M Morkel,13,1
AC Blizzard,P Kumar,7,1
AC Blizzard,R Bhatia,4,1
AC Blizzard,S Aravind,1,1
AC Blizzard,SB Wagh,2,1
AC Blizzard,Shahbaz Nadeem,5,1
AC Blizzard,Shakib Al Hasan,5,1
AC Blizzard,Yusuf Pathan,4,1
AC Blizzard,Z Khan,5,1
AC Gilchrist,A Chandila,9,0
AC Gilchrist,A Kumble,38,3
AC Gilchrist,A Mithun,12,3
AC Gilchrist,A Nehra,54,1
AC Gilchrist,AB Agarkar,20,1
AC Gilchrist,AB Dinda,31,2
AC Gilchrist,AC Thomas,3,1
AC Gilchrist,AD Mathews,19,2
AC Gilchrist,AM Nayar,5,2
AC Gilchrist,AP Dole,7,1
AC Gilchrist,Amit Mishra,33,2
AC Gilchrist,Amit Singh,5,1
AC Gilchrist,Anand Rajan,7,1
AC Gilchrist,Ankit Rajpoot,4,1
AC Gilchrist,B Akhil,12,1
AC Gilchrist,B Lee,29,1
AC Gilchrist,BJ Hodge,10,2
AC Gilchrist,BW Hilfenhaus,10,2
AC Gilchrist,Bhuvneshwar Kumar,12,1
AC Gilchrist,CK Langeveldt,23,1
AC Gilchrist,CRD Fernando,2,1
AC Gilchrist,Chris Gayle,14,1
AC Gilchrist,DE Bollinger,13,1
AC Gilchrist,DJ Hussey,3,1
AC Gilchrist,DJG Sammy,1,1
AC Gilchrist,DP Nannes,25,2
AC Gilchrist,DW Steyn,56,1
AC Gilchrist,Dan Christian,12,1
AC Gilchrist,Dhawal Kulkarni,10,1
AC Gilchrist,Dwayne Bravo,25,1
AC Gilchrist,GD McGrath,7,1
AC Gilchrist,GH Vihari,6,1
AC Gilchrist,Gagandeep Singh,5,1
AC Gilchrist,Harbhajan Singh,27,2
AC Gilchrist,IK Pathan,44,4
AC Gilchrist,Iqbal Abdulla,9,1
AC Gilchrist,Ishant Sharma,56,1
AC Gilchrist,J Botha,8,1
AC Gilchrist,JA Morkel,35,3
AC Gilchrist,JD Ryder,6,3
AC Gilchrist,JH Kallis,43,3
AC Gilchrist,JJ van der Wath,5,3
AC Gilchrist,JP Duminy,17,3
AC Gilchrist,JP Faulkner,5,3
AC Gilchrist,JR Hopes,2,3
AC Gilchrist,Jaydev Unadkat,13,3
AC Gilchrist,Joginder Sharma,5,3
AC Gilchrist,KK Cooper,5,1
AC Gilchrist,KP Pietersen,5,1
AC Gilchrist,Karn Sharma,3,1
AC Gilchrist,L Balaji,32,1
AC Gilchrist,LR Shukla,4,1
AC Gilchrist,M Kartik,11,1
AC Gilchrist,M Morkel,38,1
AC Gilchrist,M Muralitharan,16,1
AC Gilchrist,M Ntini,12,1
AC Gilchrist,MC Henriques,5,1
AC Gilchrist,MM Patel,28,1
AC Gilchrist,MN Samuels,6,1
AC Gilchrist,MS Gony,22,1
AC Gilchrist,Mashrafe Mortaza,12,1
AC Gilchrist,Mohammad Asif,12,1
AC Gilchrist,Mohammad Hafeez,4,1
AC Gilchrist,NLTC Perera,9,1
AC Gilchrist,NM Coulter-Nile,7,1
AC Gilchrist,P Kumar,16,1
AC Gilchrist,PP Ojha,6,1
AC Gilchrist,Piyush Chawla,8,1
AC Gilchrist,Pradeep Sangwan,8,1
AC Gilchrist,R Bhatia,6,1
AC Gilchrist,R Vinay Kumar,15,1
AC Gilchrist,RE van der Merwe,1,1
AC Gilchrist,RP Singh,12,1
AC Gilchrist,RR Powar,12,2
AC Gilchrist,RR Raje,5,1
AC Gilchrist,Ravichandran Ashwin,45,2
AC Gilchrist,Ravindra Jadeja,3,1
AC Gilchrist,Rohit Sharma,11,1
AC Gilchrist,S Aravind,10,1
AC Gilchrist,S Ladda,8,1
AC Gilchrist,S Narwal,3,1
AC Gilchrist,S Sreesanth,31,2
AC Gilchrist,S Tyagi,5,2
AC Gilchrist,SB Wagh,1,2
AC Gilchrist,SD Chitnis,9,2
AC Gilchrist,SE Bond,1,2
AC Gilchrist,SJ Srivastava,3,1
AC Gilchrist,SK Trivedi,23,1
AC Gilchrist,SK Warne,13,1
AC Gilchrist,SL Malinga,32,1
AC Gilchrist,SM Harwood,7,1
AC Gilchrist,SM Pollock,8,1
AC Gilchrist,SMSM Senanayake,16,1
AC Gilchrist,ST Jayasuriya,8,1
AC Gilchrist,SW Tait,3,1
AC Gilchrist,Shane Watson,24,1
AC Gilchrist,Siddarth Kaul,3,1
AC Gilchrist,Sohail Tanvir,12,1
AC Gilchrist,Sunil Narine,13,1
AC Gilchrist,Suresh Raina,1,1
AC Gilchrist,TL Suman,2,1
AC Gilchrist,TM Dilshan,15,1
AC Gilchrist,Tim Southee,4,1
AC Gilchrist,Umesh Yadav,4,1
AC Gilchrist,V Sehwag,6,1
AC Gilchrist,VR Aaron,3,1
AC Gilchrist,VRV Singh,9,1
AC Gilchrist,VS Malik,2,1
AC Gilchrist,VY Mahesh,8,1
