batsmen,bowler,balls,wickets
AB de Villiers,Amit Mishra,11,0
AB de Villiers,Andre Russell,4,0
AB de Villiers,Andrew Tye,8,1
AB de Villiers,Axar Patel,9,1
AB de Villiers,Basil Thampi,6,1
AB de Villiers,Ben Laughlin,7,1
AB de Villiers,Chris Morris,8,1
AB de Villiers,Dwayne Bravo,1,1
AB de Villiers,Harbhajan Singh,6,1
AB de Villiers,Harshal Patel,21,1
AB de Villiers,Imran Tahir,10,1
AB de Villiers,Ish Sodhi,13,1
AB de Villiers,Jaydev Unadkat,6,1
AB de Villiers,Jofra Archer,6,1
AB de Villiers,Junior Dala,1,1
AB de Villiers,Krishnappa Gowtham,1,1
AB de Villiers,Kuldeep Yadav,4,1
AB de Villiers,Mitchell Johnson,6,1
AB de Villiers,Mitchell McClenaghan,2,1
AB de Villiers,Mohit Sharma,12,1
AB de Villiers,Mujeeb Ur Rahman,7,1
AB de Villiers,Nitish Rana,2,1
AB de Villiers,Piyush Chawla,2,1
AB de Villiers,Rahul Tewatia,10,1
AB de Villiers,Rashid Khan,10,2
AB de Villiers,Ravichandran Ashwin,4,2
AB de Villiers,Ravindra Jadeja,5,2
AB de Villiers,Sandeep Lamichhane,8,2
AB de Villiers,Sandeep Sharma,12,2
AB de Villiers,Shahbaz Nadeem,7,2
AB de Villiers,Shakib Al Hasan,15,2
AB de Villiers,Shane Watson,4,2
AB de Villiers,Shardul Thakur,9,2
AB de Villiers,Shreyas Gopal,21,2
AB de Villiers,Siddarth Kaul,7,2
AB de Villiers,Sunil Narine,5,2
AB de Villiers,Trent Boult,11,2
Aaron Finch,Avesh Khan,1,1
Aaron Finch,Colin de Grandhomme,6,1
Aaron Finch,Deepak Chahar,4,1
Aaron Finch,Hardik Pandya,10,1
Aaron Finch,Imran Tahir,1,1
Aaron Finch,Jasprit Bumrah,4,1
Aaron Finch,Javon Searles,4,1
Aaron Finch,Krunal Pandya,11,1
Aaron Finch,Kuldeep Yadav,6,1
Aaron Finch,Lungi Ngidi,2,1
Aaron Finch,Mayank Markande,7,1
Aaron Finch,Mitchell McClenaghan,3,1
Aaron Finch,Moeen Ali,4,1
Aaron Finch,Mohammed Siraj,8,1
Aaron Finch,Piyush Chawla,6,1
Aaron Finch,Rashid Khan,4,1
Aaron Finch,Shakib Al Hasan,3,1
Aaron Finch,Siddarth Kaul,3,1
Aaron Finch,Sunil Narine,4,1
