batsmen,bowler,delivery,0s,1s,2s,3s,4s,5s,6s
AB de Villiers,Jaydev Unadkat,3,1,1,1,0,2,0,1
AB de Villiers,Jaydev Unadkat,5,1,1,1,0,1,0,1
AB de Villiers,Jaydev Unadkat,6,1,1,1,0,1,0,1
AB de Villiers,Jofra Archer,1,1,1,1,0,1,0,1
AB de Villiers,Jofra Archer,2,1,1,1,0,1,0,1
AB de Villiers,Jofra Archer,3,1,1,1,0,1,0,1
AB de Villiers,Jofra Archer,4,1,1,1,0,1,0,1
AB de Villiers,Jofra Archer,5,1,1,1,0,1,0,1
AB de Villiers,Jofra Archer,6,1,1,1,0,1,0,1
AB de Villiers,Junior Dala,5,1,1,1,0,1,0,1
AB de Villiers,Krishnappa Gowtham,6,1,1,1,0,1,0,1
AB de Villiers,Kuldeep Yadav,1,1,1,1,0,1,0,1
AB de Villiers,Kuldeep Yadav,3,1,1,1,0,1,0,1
AB de Villiers,Kuldeep Yadav,5,1,1,1,0,1,0,1
AB de Villiers,Kuldeep Yadav,6,1,1,1,0,1,0,1
AB de Villiers,Mitchell Johnson,1,1,1,1,0,1,0,1
AB de Villiers,Mitchell Johnson,2,1,1,1,0,1,0,1
AB de Villiers,Mitchell Johnson,3,1,1,1,0,1,0,1
AB de Villiers,Mitchell Johnson,4,1,1,1,0,1,0,1
AB de Villiers,Mitchell Johnson,5,1,1,1,0,1,0,1
AB de Villiers,Mitchell Johnson,6,1,1,1,0,1,0,1
AB de Villiers,Mitchell McClenaghan,2,1,1,1,0,1,0,1
AB de Villiers,Mitchell McClenaghan,4,1,1,1,0,1,0,1
AB de Villiers,Mohit Sharma,1,1,1,1,0,1,0,1
AB de Villiers,Mohit Sharma,2,1,2,1,0,1,0,1
AB de Villiers,Mohit Sharma,3,1,2,1,0,1,0,1
AB de Villiers,Mohit Sharma,4,1,1,1,0,1,0,1
AB de Villiers,Mohit Sharma,5,1,1,1,0,1,0,1
AB de Villiers,Mohit Sharma,6,1,2,1,0,1,0,1
AB de Villiers,Mujeeb Ur Rahman,1,1,1,1,0,1,0,1
AB de Villiers,Mujeeb Ur Rahman,2,1,1,1,0,1,0,1
AB de Villiers,Mujeeb Ur Rahman,5,1,1,1,0,1,0,1
AB de Villiers,Mujeeb Ur Rahman,6,1,1,1,0,1,0,1
AB de Villiers,Nitish Rana,1,1,1,1,0,1,0,1
AB de Villiers,Nitish Rana,2,1,1,1,0,1,0,1
AB de Villiers,Piyush Chawla,2,1,1,1,0,1,0,1
AB de Villiers,Piyush Chawla,6,1,1,1,0,1,0,1
AB de Villiers,Rahul Tewatia,1,1,2,1,0,1,0,1
AB de Villiers,Rahul Tewatia,2,1,1,1,0,1,0,1
AB de Villiers,Rahul Tewatia,3,1,1,1,0,1,0,1
AB de Villiers,Rahul Tewatia,4,1,1,1,0,1,0,1
AB de Villiers,Rahul Tewatia,5,1,2,1,0,1,0,1
AB de Villiers,Rahul Tewatia,6,1,1,1,0,1,0,1
AB de Villiers,Rashid Khan,2,1,1,1,0,1,0,1
AB de Villiers,Rashid Khan,3,1,1,1,0,1,0,1
AB de Villiers,Rashid Khan,4,2,1,1,0,1,0,1
AB de Villiers,Rashid Khan,5,1,1,1,0,1,0,1
AB de Villiers,Rashid Khan,6,1,2,1,0,1,0,1
AB de Villiers,Ravichandran Ashwin,2,1,1,1,0,1,0,1
AB de Villiers,Ravichandran Ashwin,4,1,1,1,0,1,0,1
AB de Villiers,Ravichandran Ashwin,6,1,1,1,0,1,0,1
AB de Villiers,Ravindra Jadeja,2,1,1,1,0,1,0,1
