,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,1,1,10,9,0,-,-,-,5.40,-,0,0,0
ODIs,5,5,215,218,6,4/52,4/52,36.33,6.08,35.8,1,0,0
T20Is,7,7,165,242,8,4/27,4/27,30.25,8.80,20.6,1,0,0
First-class,59,103,10728,5613,200,6/31,9/123,28.06,3.13,53.6,10,12,0
List A,50,50,2443,2241,83,4/19,4/19,27.00,5.50,29.4,5,0,0
T20s,66,65,1351,1864,74,4/27,4/27,25.18,8.27,18.2,1,0,0
