,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,58,5,78,69,0,-,-,-,5.30,-,0,0,0
ODIs,134,11,192,189,2,1/8,1/8,94.50,5.90,96.0,0,0,0
T20Is,44,2,8,3,0,-,-,-,2.25,-,0,0,0
First-class,138,,2558,1477,41,4/39,,36.02,3.46,62.3,3,0,0
List A,252,,2238,2030,54,4/47,4/47,37.59,5.44,41.4,1,0,0
T20s,192,52,790,917,50,5/19,5/19,18.34,6.96,15.8,1,2,0
