,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,59,36,1091,937,27,3/23,3/23,34.70,5.15,40.4,0,0,0
T20Is,9,-,-,-,-,-,-,-,-,-,-,-,-
First-class,77,15,221,157,1,1/23,1/23,157.00,4.26,221.0,0,0,0
List A,150,47,1283,1148,30,3/23,3/23,38.26,5.36,42.7,0,0,0
T20s,108,4,60,88,4,2/23,2/23,22.00,8.80,15.0,0,0,0
