,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,18,22,1041,603,13,2/1,2/1,46.38,3.47,80.0,0,0,0
ODIs,226,101,2126,1811,36,3/34,3/34,50.30,5.11,59.0,0,0,0
T20Is,78,27,349,442,13,2/6,2/6,34.00,7.59,26.8,0,0,0
First-class,109,,3457,1721,41,3/31,,41.97,2.98,84.3,0,0,0
List A,302,,3395,2838,64,4/23,4/23,44.34,5.01,53.0,2,0,0
T20s,305,118,1521,1834,53,4/26,4/26,34.60,7.23,28.6,1,0,0
