,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,41,78,11480,4548,192,7/48,10/154,23.68,2.37,59.7,7,9,1
ODIs,151,147,7669,6245,174,5/36,5/36,35.89,4.88,44.0,7,1,0
T20Is,40,40,811,983,31,3/48,3/48,31.70,7.27,26.1,0,0,0
First-class,94,168,23448,9538,402,7/31,13/126,23.72,2.44,58.3,17,27,7
List A,204,195,10044,7936,235,5/36,5/36,33.77,4.74,42.7,10,1,0
T20s,214,186,3320,4281,138,5/16,5/16,31.02,7.73,24.0,3,1,0
