,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
List A,10,5,2,21,17*,7.00,20,105.00,0,0,3,1,3,0
T20s,16,6,3,22,16,7.33,12,183.33,0,0,1,2,4,0
