,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,12,22,1,813,126,38.71,1668,48.74,2,4,100,5,9,0
List A,30,30,0,1378,132,45.93,1444,95.42,3,10,151,30,9,0
T20s,17,17,2,424,55*,28.26,337,125.81,0,3,42,9,9,0
