,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,17,24,4,837,131*,41.85,1501,55.76,3,3,85,12,45,3
List A,19,19,0,737,133,38.78,817,90.20,1,5,69,10,8,3
T20s,19,17,7,261,35*,26.10,218,119.72,0,0,26,6,10,2
