,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,1,1,0,12,12,12.00,14,85.71,0,0,1,0,0,0
T20Is,1,-,-,-,-,-,-,-,-,-,-,-,0,0
First-class,45,63,10,965,57*,18.20,1738,55.52,0,2,124,32,17,0
List A,31,23,2,282,39,13.42,355,79.43,0,0,19,16,7,0
T20s,48,25,8,158,39,9.29,119,132.77,0,0,9,10,12,0
