,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,2,3,1,45,40,22.50,49,91.83,0,0,4,4,1,0
List A,2,-,-,-,-,-,-,-,-,-,-,-,0,0
T20s,6,3,1,12,5*,6.00,19,63.15,0,0,0,0,4,0
