,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,4,6,1,228,104,45.60,515,44.27,1,1,28,0,1,0
ODIs,1,1,1,1,1*,-,1,100.00,0,0,0,0,1,0
First-class,57,89,13,2079,211,27.35,4656,44.65,3,8,234,4,28,0
List A,48,36,6,673,71,22.43,838,80.31,0,3,56,9,18,0
T20s,42,28,12,252,31,15.75,223,113.00,0,0,14,9,21,0
