,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,27,47,7,1585,177,39.62,2881,55.01,3,10,151,32,25,0
ODIs,206,200,31,8010,264,47.39,9107,87.95,22,41,699,218,73,0
T20Is,94,86,14,2331,118,32.37,1693,137.68,4,16,207,102,35,0
First-class,87,137,16,6562,309*,54.23,,,20,30,,,67,0
List A,277,267,39,10252,264,44.96,,,25,54,,,97,0
T20s,302,289,45,7889,118,32.33,5907,133.55,6,53,688,327,122,0
