,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,40,62,6,1900,169,33.92,3277,57.97,3,11,260,22,31,0
ODIs,304,278,40,8701,150,36.55,9924,87.67,14,52,908,155,94,0
T20Is,58,51,9,1177,77*,28.02,863,136.38,0,8,77,74,12,0
First-class,139,221,18,8965,260,44.16,,,26,36,,,118,0
List A,423,389,55,12663,172,37.91,,,19,78,,,132,0
T20s,230,215,27,4853,83,25.81,3766,128.86,0,27,386,261,53,0
