,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,101,95,6,2289,119,25.71,2464,92.89,3,9,145,110,53,0
T20Is,59,50,10,788,63*,19.70,618,127.50,0,2,56,40,26,0
First-class,27,44,2,1584,174,37.71,,,4,7,,,42,0
List A,138,128,10,3134,119,26.55,,,3,15,,,78,0
T20s,462,418,113,9070,104,29.73,6041,150.14,1,45,588,586,265,0
