,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,6,2,2,7,6*,-,4,175.00,0,0,0,0,2,0
T20Is,7,-,-,-,-,-,-,-,-,-,-,-,4,0
First-class,31,45,13,389,39*,12.15,1084,35.88,0,0,39,6,11,0
List A,43,23,10,137,24*,10.53,251,54.58,0,0,9,1,10,0
T20s,56,12,8,75,26,18.75,69,108.69,0,0,6,1,20,0
