,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,12,16,3,231,36,17.76,357,64.70,0,0,24,9,4,0
List A,22,15,4,124,30,11.27,174,71.26,0,0,7,5,5,0
T20s,13,8,5,33,13*,11.00,38,86.84,0,0,2,0,5,0
