,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
T20Is,1,-,-,-,-,-,-,-,-,-,-,-,0,0
First-class,7,9,1,126,68*,15.75,322,39.13,0,1,14,1,0,0
List A,22,9,6,31,13,10.33,49,63.26,0,0,0,1,3,0
T20s,21,10,7,28,7*,9.33,31,90.32,0,0,3,0,5,0
