,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,40,69,4,2538,273,39.04,3620,70.11,5,14,309,65,79,9
List A,45,45,4,1650,139,40.24,1806,91.36,3,10,162,58,50,3
T20s,63,60,2,1527,113*,26.32,1144,133.47,2,7,153,70,34,7
