,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
T20Is,11,5,2,70,26*,23.33,50,140.00,0,0,6,3,4,0
First-class,3,5,0,294,160,58.80,434,67.74,2,0,40,1,1,0
List A,47,45,5,1308,85,32.70,1591,82.21,0,8,127,28,15,0
T20s,78,60,16,1128,86,25.63,775,145.54,0,2,102,46,27,0
