,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,10,15,6,14,6,1.55,102,13.72,0,0,1,0,3,0
ODIs,49,10,5,18,10*,3.60,42,42.85,0,0,2,1,16,0
T20Is,42,6,4,8,7,4.00,13,61.53,0,0,1,0,6,0
First-class,36,43,25,134,16*,7.44,574,23.34,0,0,16,0,12,0
List A,74,23,12,81,42*,7.36,100,81.00,0,0,7,4,24,0
T20s,136,21,14,69,16*,9.85,77,89.61,0,0,4,3,21,0
