,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,72,119,7,4818,200,43.01,7962,60.51,12,24,682,42,95,0
List A,77,70,10,2000,134*,33.33,2135,93.67,2,11,177,56,43,0
T20s,125,108,29,2247,80,28.44,1645,136.59,0,9,220,80,61,0
