,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,1,2,114,94,1,1/79,1/94,94.00,4.94,114.0,0,0,0
First-class,113,195,19747,11753,438,8/90,15/170,26.83,3.57,45.0,11,25,5
List A,92,90,4138,4096,127,6/19,6/19,32.25,5.93,32.5,5,1,0
T20s,93,90,1988,2607,106,5/16,5/16,24.59,7.86,18.7,1,1,0
