,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,1,1,90,75,1,1/75,1/75,75.00,5.00,90.0,0,0,0
ODIs,28,27,1536,959,51,5/50,5/50,18.80,3.74,30.1,2,1,0
T20Is,9,9,210,187,11,3/17,3/17,17.00,5.34,19.0,0,0,0
First-class,1,1,90,75,1,1/75,1/75,75.00,5.00,90.0,0,0,0
List A,35,34,1920,1206,59,5/50,5/50,20.44,3.76,32.5,2,1,0
T20s,61,61,1363,1528,65,4/16,4/16,23.50,6.72,20.9,1,0,0
