,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,2,-,-,-,-,-,-,-,-,-,-,-,-
First-class,50,18,342,217,3,2/18,2/18,72.33,3.80,114.0,0,0,0
List A,75,3,30,34,0,-,-,-,6.80,-,0,0,0
T20s,124,1,6,8,0,-,-,-,8.00,-,0,0,0
