,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
T20Is,3,-,-,-,-,-,-,-,-,-,-,-,-
First-class,70,29,622,332,1,1/13,1/13,332.00,3.20,622.0,0,0,0
List A,97,21,447,414,12,2/3,2/3,34.50,5.55,37.2,0,0,0
T20s,144,22,261,275,15,3/21,3/21,18.33,6.32,17.4,0,0,0
