,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,40,77,7562,4254,144,6/56,9/118,29.54,3.37,52.5,7,4,0
ODIs,63,62,3231,2951,113,4/35,4/35,26.11,5.48,28.5,6,0,0
T20Is,7,7,142,250,8,3/38,3/38,31.25,10.56,17.7,0,0,0
First-class,63,119,12403,6816,242,7/79,11/151,28.16,3.29,51.2,12,10,2
List A,94,93,4751,4263,170,4/25,4/25,25.07,5.38,27.9,10,0,0
T20s,68,68,1382,1928,71,4/24,4/24,27.15,8.37,19.4,1,0,0
