,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,3,2,402,246,1,1/176,1/176,246.00,3.67,402.0,0,0,0
List A,8,8,260,295,6,3/38,3/38,49.16,6.80,43.3,0,0,0
T20s,37,37,761,944,41,3/18,3/18,23.02,7.44,18.5,0,0,0
