,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,65,122,18372,8700,342,7/59,13/140,25.43,2.84,53.7,16,26,7
ODIs,111,109,6021,4937,150,4/25,4/25,32.91,4.91,40.1,1,0,0
T20Is,46,46,1026,1193,52,4/8,4/8,22.94,6.97,19.7,2,0,0
First-class,109,194,29317,13705,512,7/59,13/140,26.76,2.80,57.2,19,39,10
List A,167,165,9052,6992,226,4/25,4/25,30.93,4.63,40.0,1,0,0
T20s,219,216,4694,5373,218,4/8,4/8,24.64,6.86,21.5,4,0,0
