,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,103,104,7109,3120,73,5/34,6/81,42.73,2.63,97.3,2,2,0
ODIs,289,195,7334,5846,165,5/46,5/46,35.43,4.78,44.4,3,1,0
T20Is,58,23,319,377,17,2/15,2/15,22.17,7.09,18.7,0,0,0
First-class,180,,12511,5194,132,5/34,,39.34,2.49,94.7,,2,0
List A,361,,9610,7300,227,5/46,5/46,32.15,4.55,42.3,4,1,0
T20s,374,131,1945,2479,80,4/22,4/22,30.98,7.64,24.3,2,0,0
