,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,9,16,893,513,15,4/74,5/92,34.20,3.44,59.5,1,0,0
ODIs,2,2,72,90,2,2/44,2/44,45.00,7.50,36.0,0,0,0
First-class,51,86,6980,3995,133,7/58,10/101,30.03,3.43,52.4,5,6,1
List A,51,48,2292,2129,68,4/32,4/32,31.30,5.57,33.7,1,0,0
T20s,48,47,894,1248,44,4/13,4/13,28.36,8.37,20.3,1,0,0
