,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,34,-,-,-,-,-,-,-,-,-,-,-,-
ODIs,14,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,27,-,-,-,-,-,-,-,-,-,-,-,-
First-class,75,9,168,83,0,-,-,-,2.96,-,0,0,0
List A,55,3,21,42,1,1/23,1/23,42.00,12.00,21.0,0,0,0
T20s,100,-,-,-,-,-,-,-,-,-,-,-,-
