,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,52,93,9970,5027,180,6/25,10/97,27.92,3.02,55.3,9,8,1
List A,30,29,1421,1152,36,3/32,3/32,32.00,4.86,39.4,0,0,0
T20s,64,64,1292,1592,84,5/14,5/14,18.95,7.39,15.3,2,2,0
