,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,7,7,387,392,12,5/46,5/46,32.66,6.07,32.2,0,1,0
T20Is,26,25,551,815,37,4/23,4/23,22.02,8.87,14.8,1,0,0
First-class,9,17,1699,991,27,3/47,6/159,36.70,3.49,62.9,0,0,0
List A,38,38,1952,1777,81,6/46,6/46,21.93,5.46,24.0,2,3,0
T20s,125,123,2741,3635,178,5/17,5/17,20.42,7.95,15.3,8,2,0
