,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,1,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,11,-,-,-,-,-,-,-,-,-,-,-,-
First-class,3,-,-,-,-,-,-,-,-,-,-,-,-
List A,19,-,-,-,-,-,-,-,-,-,-,-,-
T20s,96,-,-,-,-,-,-,-,-,-,-,-,-
