,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,15,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,21,-,-,-,-,-,-,-,-,-,-,-,-
First-class,64,1,1,4,0,-,-,-,24.00,-,0,0,0
List A,90,-,-,-,-,-,-,-,-,-,-,-,-
T20s,159,-,-,-,-,-,-,-,-,-,-,-,-
