,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,17,1,6,2,0,-,-,-,2.00,-,0,0,0
List A,19,-,-,-,-,-,-,-,-,-,-,-,-
T20s,19,-,-,-,-,-,-,-,-,-,-,-,-
