,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,7,11,1,326,94,32.60,528,61.74,0,2,41,7,4,0
List A,13,12,0,196,46,16.33,231,84.84,0,0,20,4,6,0
T20s,3,3,2,63,46*,63.00,33,190.90,0,0,3,5,1,0
