,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,106,145,4,2101,109,14.90,4127,50.90,1,7,,,46,0
List A,98,68,18,783,53,15.66,975,80.30,0,1,75,4,29,0
T20s,115,43,14,245,36*,8.44,278,88.12,0,0,16,6,24,0
