,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
T20Is,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,0
First-class,42,60,9,559,51,10.96,1404,39.81,0,1,72,0,9,0
List A,36,18,10,99,18*,12.37,145,68.27,0,0,7,1,9,0
T20s,101,26,21,69,13*,13.80,80,86.25,0,0,5,0,23,0
