,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,28,38,7,445,60,14.35,733,60.70,0,2,66,9,7,0
List A,19,9,3,39,12*,6.50,58,67.24,0,0,3,1,3,0
T20s,49,13,10,41,13*,13.66,43,95.34,0,0,1,2,11,0
