,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,57,41,11,810,123*,27.00,713,113.60,2,3,62,43,17,0
T20Is,22,18,5,236,37*,18.15,161,146.58,0,0,11,17,9,0
First-class,92,145,16,4572,210*,35.44,5233,87.36,11,19,,,78,0
List A,191,168,33,4592,148,34.01,4096,112.10,9,26,,,81,0
T20s,256,228,58,4693,100,27.60,3336,140.67,1,21,370,236,77,0
