,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,45,74,6,2113,225*,31.07,4401,48.01,4,8,289,9,104,1
List A,76,76,5,2734,149*,38.50,3720,73.49,6,13,303,23,55,7
T20s,89,79,6,1931,86*,26.45,1693,114.05,0,11,208,33,39,8
