,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,38,60,5,2581,293*,46.92,3975,64.93,9,11,296,47,42,0
List A,54,51,8,1864,161,43.34,1940,96.08,3,11,149,53,27,0
T20s,97,78,17,1325,108,21.72,980,135.20,1,5,83,59,36,0
