,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,3,2,0,1,1,0.50,3,33.33,0,0,0,0,1,0
T20Is,3,-,-,-,-,-,-,-,-,-,-,-,0,0
First-class,58,70,14,613,50,10.94,1685,36.37,0,1,82,6,12,0
List A,80,37,14,157,22,6.82,287,54.70,0,0,9,0,26,0
T20s,89,28,19,66,8*,7.33,76,86.84,0,0,4,0,16,0
