,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,35,53,2,2309,187,45.27,4658,49.57,8,10,257,36,20,0
List A,32,30,8,1019,103*,46.31,1297,78.56,1,7,79,36,13,0
T20s,34,34,9,834,108*,33.36,618,134.95,1,6,53,49,5,0
