,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,28,47,0,1481,224,31.51,2622,56.48,3,8,201,8,13,0
List A,38,37,0,975,143,26.35,1236,78.88,1,6,112,10,14,0
T20s,89,85,5,2137,95,26.71,1671,127.88,0,12,215,72,29,0
