,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,31,54,6,1722,106,35.87,2876,59.87,1,14,204,18,68,0
ODIs,127,105,22,3387,150,40.80,2862,118.34,7,18,289,107,155,28
T20Is,66,58,11,1260,73*,26.80,912,138.15,0,7,102,53,23,4
First-class,95,152,13,4593,144,33.04,7651,60.03,5,29,585,53,184,2
List A,198,165,42,5553,150,45.14,4653,119.34,9,34,512,170,207,33
T20s,246,225,41,5573,95*,30.28,3882,143.56,0,38,476,229,131,27
