,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,37,52,2226,1270,19,3/71,3/71,66.84,3.42,117.1,0,0,0
List A,21,8,186,130,7,2/15,2/15,18.57,4.19,26.5,0,0,0
T20s,19,3,36,46,2,1/8,1/8,23.00,7.66,18.0,0,0,0
