,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,17,27,2702,1260,34,3/60,5/173,37.05,2.79,79.4,0,0,0
ODIs,59,55,2677,2187,63,5/50,5/50,34.71,4.90,42.4,0,1,0
T20Is,31,30,593,719,34,4/11,4/11,21.14,7.27,17.4,1,0,0
First-class,44,66,6087,2968,70,3/27,5/75,42.40,2.92,86.9,0,0,0
List A,83,77,3807,2991,93,5/50,5/50,32.16,4.71,40.9,1,1,0
T20s,65,63,1319,1551,65,4/11,4/11,23.86,7.05,20.2,1,0,0
