,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,61,18,384,198,1,1/12,1/23,198.00,3.09,384.0,0,0,0
ODIs,17,2,36,37,1,1/19,1/19,37.00,6.16,36.0,0,0,0
T20Is,9,1,12,9,0,-,-,-,4.50,-,0,0,0
First-class,131,45,1073,619,11,3/46,5/87,56.27,3.46,97.5,0,0,0
List A,86,14,287,264,9,3/13,3/13,29.33,5.51,31.8,0,0,0
T20s,158,8,66,73,0,-,-,-,6.63,-,0,0,0
