,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,111,178,18,6025,194,37.65,11078,54.38,14,30,864,22,41,0
List A,85,78,8,1736,133,24.80,,,3,7,,,7,0
T20s,48,42,7,585,55*,16.71,664,88.10,0,1,58,5,13,0
