,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,20,26,13,75,12,5.76,182,41.20,0,0,8,4,4,0
List A,17,9,4,14,4*,2.80,39,35.89,0,0,0,0,3,0
T20s,19,5,3,1,1*,0.50,5,20.00,0,0,0,0,2,0
