,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,38,20,6,181,38,12.92,190,95.26,0,0,8,8,15,0
T20Is,11,7,3,68,20*,17.00,54,125.92,0,0,3,3,5,0
First-class,32,44,8,1423,110*,39.52,2229,63.84,1,11,183,16,14,0
List A,107,72,18,1355,93,25.09,1465,92.49,0,5,111,30,41,0
T20s,115,88,29,1348,53,22.84,1029,131.00,0,1,85,60,40,0
