,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,6,5,0,210,88,42.00,218,96.33,0,2,22,3,3,0
T20Is,6,5,0,83,30,16.60,80,103.75,0,0,8,1,1,0
First-class,54,92,4,4592,202*,52.18,5631,81.54,12,23,539,108,37,0
List A,70,68,5,2647,148,42.01,2806,94.33,5,15,231,75,28,0
T20s,91,90,11,2567,147,32.49,1945,131.97,2,16,221,117,35,0
